iter	Passed	Remaining
0	58	57942
1	105	52549
2	152	50716
3	202	50339
4	250	49883
5	301	49895
6	349	49587
7	397	49317
8	447	49276
9	496	49164
10	545	49006
11	595	49038
12	643	48888
13	692	48789
14	742	48761
15	791	48705
16	844	48841
17	895	48858
18	941	48635
19	986	48323
20	1038	48409
21	1081	48061
22	1127	47879
23	1173	47723
24	1268	49489
25	1312	49165
26	1357	48931
27	1405	48783
28	1445	48390
29	1490	48192
30	1540	48152
31	1591	48139
32	1642	48120
33	1689	48007
34	1728	47663
35	1773	47499
36	1820	47378
37	1860	47110
38	1901	46862
39	1945	46687
40	1995	46674
41	2041	46560
42	2087	46468
43	2138	46469
44	2189	46457
45	2238	46433
46	2292	46484
47	2341	46434
48	2389	46369
49	2433	46239
50	2473	46027
51	2513	45826
52	2556	45677
53	2602	45594
54	2642	45403
55	2685	45275
56	2729	45158
57	2770	44997
58	2821	45007
59	2867	44923
60	2906	44745
61	2953	44688
62	3003	44665
63	3051	44624
64	3093	44505
65	3136	44390
66	3187	44385
67	3248	44526
68	3312	44694
69	3363	44681
70	3404	44545
71	3448	44449
72	3491	44339
73	3531	44195
74	3575	44093
75	3617	43985
76	3663	43919
77	3707	43825
78	3750	43718
79	3795	43648
80	3837	43543
81	3880	43442
82	3918	43287
83	3963	43222
84	4005	43122
85	4050	43044
86	4094	42965
87	4132	42829
88	4179	42781
89	4229	42759
90	4281	42763
91	4330	42736
92	4378	42697
93	4423	42632
94	4467	42559
95	4532	42685
96	4596	42792
97	4681	43086
98	4741	43156
99	4784	43057
100	4831	43004
101	4879	42955
102	4925	42892
103	4967	42793
104	5012	42721
105	5057	42653
106	5101	42577
107	5144	42490
108	5187	42402
109	5231	42326
110	5277	42271
111	5324	42215
112	5369	42150
113	5418	42114
114	5462	42038
115	5508	41975
116	5557	41939
117	5606	41904
118	5657	41887
119	5707	41852
120	5750	41771
121	5791	41677
122	5839	41637
123	5886	41585
124	5936	41553
125	5975	41450
126	6021	41390
127	6063	41309
128	6108	41246
129	6153	41178
130	6191	41071
131	6236	41009
132	6287	40985
133	6338	40964
134	6386	40918
135	6433	40873
136	6478	40811
137	6538	40841
138	6587	40802
139	6630	40729
140	6681	40703
141	6731	40674
142	6772	40585
143	6816	40517
144	6863	40473
145	6914	40446
146	6964	40410
147	7002	40309
148	7040	40211
149	7090	40178
150	7160	40259
151	7209	40224
152	7256	40174
153	7295	40079
154	7333	39980
155	7372	39888
156	7415	39815
157	7463	39773
158	7503	39688
159	7548	39632
160	7587	39540
161	7632	39483
162	7676	39416
163	7715	39331
164	7755	39248
165	7794	39161
166	7841	39114
167	7886	39055
168	7927	38982
169	7969	38908
170	8009	38831
171	8048	38746
172	8093	38687
173	8134	38615
174	8175	38540
175	8225	38511
176	8279	38498
177	8327	38454
178	8375	38417
179	8425	38382
180	8473	38339
181	8512	38258
182	8551	38178
183	8592	38107
184	8636	38048
185	8692	38043
186	8764	38105
187	8807	38042
188	8849	37973
189	8890	37900
190	8939	37862
191	8979	37790
192	9025	37740
193	9075	37704
194	9124	37666
195	9171	37623
196	9211	37548
197	9255	37491
198	9294	37411
199	9337	37350
200	9379	37284
201	9433	37266
202	9490	37261
203	9547	37254
204	9596	37215
205	9637	37145
206	9674	37062
207	9718	37006
208	9757	36928
209	9796	36854
210	9839	36793
211	9887	36751
212	9939	36724
213	9986	36680
214	10033	36635
215	10074	36567
216	10116	36503
217	10160	36445
218	10203	36386
219	10252	36348
220	10295	36289
221	10342	36244
222	10383	36179
223	10426	36121
224	10480	36098
225	10530	36063
226	10569	35993
227	10614	35940
228	10652	35864
229	10689	35786
230	10731	35724
231	10775	35670
232	10819	35617
233	10864	35566
234	10902	35492
235	10963	35492
236	11005	35432
237	11047	35371
238	11091	35315
239	11142	35284
240	11190	35243
241	11238	35201
242	11279	35138
243	11321	35078
244	11364	35019
245	11411	34975
246	11449	34904
247	11490	34843
248	11535	34790
249	11578	34735
250	11620	34675
251	11657	34602
252	11694	34528
253	11740	34481
254	11778	34412
255	11825	34368
256	11872	34324
257	11914	34265
258	11959	34216
259	12019	34209
260	12076	34194
261	12125	34153
262	12172	34109
263	12213	34048
264	12262	34011
265	12308	33963
266	12347	33898
267	12389	33838
268	12427	33771
269	12473	33725
270	12521	33683
271	12561	33619
272	12607	33573
273	12648	33513
274	12689	33453
275	12736	33409
276	12791	33386
277	12840	33349
278	12889	33310
279	12948	33297
280	12991	33242
281	13042	33207
282	13122	33246
283	13201	33283
284	13313	33399
285	13375	33391
286	13419	33338
287	13470	33301
288	13525	33274
289	13583	33255
290	13636	33224
291	13698	33212
292	13750	33180
293	13821	33189
294	13871	33151
295	13929	33128
296	14056	33272
297	14133	33293
298	14217	33332
299	14281	33323
300	14344	33311
301	14400	33283
302	14463	33269
303	14516	33234
304	14569	33199
305	14619	33155
306	14665	33104
307	14708	33047
308	14749	32982
309	14795	32931
310	14836	32870
311	14881	32814
312	14926	32761
313	14968	32701
314	15012	32646
315	15057	32592
316	15100	32536
317	15144	32480
318	15195	32439
319	15241	32388
320	15281	32325
321	15325	32269
322	15372	32220
323	15419	32171
324	15461	32112
325	15508	32064
326	15553	32010
327	15599	31959
328	15642	31902
329	15688	31851
330	15729	31792
331	15773	31737
332	15816	31680
333	15875	31656
334	15925	31613
335	15975	31569
336	16022	31521
337	16062	31458
338	16105	31404
339	16145	31340
340	16189	31287
341	16231	31229
342	16275	31175
343	16315	31112
344	16388	31113
345	16440	31075
346	16494	31040
347	16547	31003
348	16588	30942
349	16627	30880
350	16670	30824
351	16714	30769
352	16758	30715
353	16796	30651
354	16838	30593
355	16872	30521
356	16928	30489
357	17002	30490
358	17056	30453
359	17092	30387
360	17134	30328
361	17177	30273
362	17223	30223
363	17268	30173
364	17309	30114
365	17354	30062
366	17410	30028
367	17469	30001
368	17521	29962
369	17569	29916
370	17616	29867
371	17668	29827
372	17710	29771
373	17753	29715
374	17791	29652
375	17833	29596
376	17872	29534
377	17914	29478
378	17952	29415
379	18009	29383
380	18067	29353
381	18125	29322
382	18168	29268
383	18213	29217
384	18253	29157
385	18297	29104
386	18336	29044
387	18381	28994
388	18437	28959
389	18490	28920
390	18545	28885
391	18597	28844
392	18645	28798
393	18689	28745
394	18738	28700
